2024_Promise,Forecast,Similarity_Score,Historical_Match,Historical_Year
We will encourage the creation of new satellite townships near metro cities across India through a,Low Confidence: Highly Likely,0.5345,Harness our advanced satellite technology and expertise for development.,2014
combination of reforms and policy initiatives. We will encourage mixed use and transit oriented development through the same. Expanding Piped Natural Gas Connections,Low Confidence: Partial,0.5918,"Take Steps to increase the domestic coal exploration and production, to bridge the demand and supply gap. Oil and gas explorations would also be expedited in the country. This will also help to reduce the import bill.",2014
We have provided piped gas connections to around 1.1 crore households nationwide. We will further expand this programme to all major cities and towns. Ensuring Ease of Mobility,Moderate Confidence: Partial,0.6505,Ensure LPG gas cylinder connection to all poor rural households,2019
We will create unified metropolitan transport systems that integrate multi-modal transport facilities,High Confidence: Highly Likely,0.7495,Efficient public transport systems.,2014
and reduce commute time in cities. We will implement AI technologies for traffic management and transport efficiency.,Moderate Confidence: Partial,0.6905,"Create a public transport system, which can reduce the dependence on personal vehicles for transport, thereby, reducing cost, time to travel as well as ecological cost.",2014
51 51,Indeterminate,0.395,Poshan Abhiyaan.,2019
"We will expedite the construction of the Yuge Yugeen Bharat National Museum, featuring millenia of Bharatiya history and work towards making it one of the most liked museums in the world. Developing Legal Standards For Cultural IP Protection",Low Confidence: Highly Likely,0.5964,"Deploy IT to protect India's priceless cultural and artistic heritage, which includes digitization of all archives and museology.",2014
We will collaborate with domestic and international organizations like WIPO & UNESCO to develop harmonised legal standards for cultural IP protection. Translating Bharatiya Literary Works into Foreign Languages,Low Confidence: Partial,0.5622,"Languages: Indian Languages are repositories of our rich literature, history, culture, art and scientific achievements. Many of our dialects are important source for knowing our heritage. BJP would promote Indian languages, and put measures for the development of all Indian languages, so that they become a powerful vehicle for creating a knowledge society.",2014
We will support the translation and adaptation of ancient Bhartiya literary works into foreign languages. International Conclave on Bharatiya Knowledge Traditions,Moderate Confidence: Partial,0.6854,"Languages: Indian Languages are repositories of our rich literature, history, culture, art and scientific achievements. Many of our dialects are important source for knowing our heritage. BJP would promote Indian languages, and put measures for the development of all Indian languages, so that they become a powerful vehicle for creating a knowledge society.",2014
We will organise a Triennial International Conclave on Bharatiya Knowledge Traditions. Developing ASI Monuments,Low Confidence: Highly Likely,0.5317,"Indigenous knowledge, based on our long and rich tradition will be further developed and harnessed for the purpose of wealth and employment generation",2014
"We will restore and preserve culturally important Archaeological Survey of India Monuments, re-igniting MODI KI our rich heritage for the 21st century. Strengthen Swadesh Darshan Programme GUARANTEE FOR We have launched a Swadesh Darshan programme for comprehensive development of tourist",Moderate Confidence: Highly Likely,0.6291,"Heritage Sites: We will provide appropriate resources for the maintenance and restoration of all national heritage sites, and to prevent their vandalisation in any form. The digitization of archives and archeological and museological records would be initiated. A National Mission for beautifying and improving the infrastructure and amenities at pilgrimage centres of all faiths will be launched.",2014
"destinations. We will work with state governments to implement and further strengthen this VIRASAT BHI,",Moderate Confidence: Partial,0.6167,"Government will play the role of an enabler and a facilitator to the rapid progress of the states; planning along regional aspirations, strengths and potentials, evolving appropriate strategies for various zones of the country - hilly regions, plains, desert and coastal areas.",2014
"programme. We will include destinations and circuits covering the life and travels of important saints and philosophers. VIKAS BHI Developing Thematic Circuits for promoting cultural experience For Border Villages to experience their lifestyle and culture Sustainable ecotourism in select under-explored regions spread across Bharat. Riverine Tourism along all major river ecosystems of Bharat. Island tourism hubs in Lakshadweep and Andaman and Nicobar Islands. Our vision of Virasat bhi, Vikas bhi is to shape a future where our traditions inspire and Adventure Tourism in the North East and other Hill States. unite people across the world. Promoting ‘Wed In India’",Moderate Confidence: Highly Likely,0.6169,"Initiate a mission mode project to create 50 tourist circuits that are affordable and built around themes like: a.) Archaeological and Heritage, b.) Cultural and Spiritual, c.) Himalayan, d.) Desert, e.) Coastal, f.) Medical (Ayurveda and Modern Medicine), etc.",2014
"Developing Our Religious and Cultural Sites We will promote select destinations across Bharat as preferred venues to showcase the richness of Bharatiya weddings, highlighting the vibrant traditions, and supporting cultural exchanges.",Low Confidence: Highly Likely,0.5597,"Heritage Sites: We will provide appropriate resources for the maintenance and restoration of all national heritage sites, and to prevent their vandalisation in any form. The digitization of archives and archeological and museological records would be initiated. A National Mission for beautifying and improving the infrastructure and amenities at pilgrimage centres of all faiths will be launched.",2014
"We will undertake significant new projects to develop religious and tourist sites inspired by the Kashi Vishwanath corridor model, across the length and breadth of our country. Holistic Development of Ayodhya As millions of devotees from around the world visit Shri Ram Lalla in Ayodhya, we are committed to the holistic development of the city. Continue the Preservation and Study of Bharatiya Manuscripts",Moderate Confidence: Partial,0.6614,To explore all possibilities within the framework of the constitution to facilitate the construction of the Ram Temple in Ayodhya.,2014
We will continue to digitise all Bharatiya manuscripts and epigraphs in mission mode. We will establish a dedicated scholarship programme to research ancient Bharatiya manuscripts and epigraphs. Establishing Bharatiya Sanskriti Kosh,Low Confidence: Highly Likely,0.5382,"Deploy IT to protect India's priceless cultural and artistic heritage, which includes digitization of all archives and museology.",2014
"We will establish the Bharatiya Sanskriti Kosh to ensure the preservation and protection of ancient Bharatiya civilization, classical languages, culture, and traditions through the extensive use of technology.",Low Confidence: Partial,0.5812,BJP is committed to the preservation of the rich culture and heritage of India's minority communities; alongside their social and economic empowerment. Curate their rich heritage and culture - maintenance and restoration of heritage sites; digitization of archives; preservation and promotion of Urdu.,2014
52 52,Indeterminate,0.3912,Poshan Abhiyaan.,2019
"We will expedite the construction of the Yuge Yugeen Bharat National Museum, featuring millenia of Bharatiya history and work towards making it one of the most liked museums in the world. Developing Legal Standards For Cultural IP Protection",Low Confidence: Highly Likely,0.5964,"Deploy IT to protect India's priceless cultural and artistic heritage, which includes digitization of all archives and museology.",2014
We will collaborate with domestic and international organizations like WIPO & UNESCO to develop harmonised legal standards for cultural IP protection. Translating Bharatiya Literary Works into Foreign Languages,Low Confidence: Partial,0.5622,"Languages: Indian Languages are repositories of our rich literature, history, culture, art and scientific achievements. Many of our dialects are important source for knowing our heritage. BJP would promote Indian languages, and put measures for the development of all Indian languages, so that they become a powerful vehicle for creating a knowledge society.",2014
We will support the translation and adaptation of ancient Bhartiya literary works into foreign languages. International Conclave on Bharatiya Knowledge Traditions,Moderate Confidence: Partial,0.6854,"Languages: Indian Languages are repositories of our rich literature, history, culture, art and scientific achievements. Many of our dialects are important source for knowing our heritage. BJP would promote Indian languages, and put measures for the development of all Indian languages, so that they become a powerful vehicle for creating a knowledge society.",2014
We will organise a Triennial International Conclave on Bharatiya Knowledge Traditions. Developing ASI Monuments,Low Confidence: Highly Likely,0.5317,"Indigenous knowledge, based on our long and rich tradition will be further developed and harnessed for the purpose of wealth and employment generation",2014
"We will restore and preserve culturally important Archaeological Survey of India Monuments, re-igniting our rich heritage for the 21st century. Strengthen Swadesh Darshan Programme We have launched a Swadesh Darshan programme for comprehensive development of tourist",Moderate Confidence: Highly Likely,0.6347,"Heritage Sites: We will provide appropriate resources for the maintenance and restoration of all national heritage sites, and to prevent their vandalisation in any form. The digitization of archives and archeological and museological records would be initiated. A National Mission for beautifying and improving the infrastructure and amenities at pilgrimage centres of all faiths will be launched.",2014
destinations. We will work with state governments to implement and further strengthen this,Moderate Confidence: Partial,0.6938,"Government will play the role of an enabler and a facilitator to the rapid progress of the states; planning along regional aspirations, strengths and potentials, evolving appropriate strategies for various zones of the country - hilly regions, plains, desert and coastal areas.",2014
programme. We will include destinations and circuits covering the life and travels of important saints and philosophers. Developing Thematic Circuits for promoting cultural experience For Border Villages to experience their lifestyle and culture Sustainable ecotourism in select under-explored regions spread across Bharat. Riverine Tourism along all major river ecosystems of Bharat. Island tourism hubs in Lakshadweep and Andaman and Nicobar Islands. Adventure Tourism in the North East and other Hill States. Promoting ‘Wed In India’,Moderate Confidence: Highly Likely,0.6352,"Initiate a mission mode project to create 50 tourist circuits that are affordable and built around themes like: a.) Archaeological and Heritage, b.) Cultural and Spiritual, c.) Himalayan, d.) Desert, e.) Coastal, f.) Medical (Ayurveda and Modern Medicine), etc.",2014
"Developing Our Religious and Cultural Sites We will promote select destinations across Bharat as preferred venues to showcase the richness of Bharatiya weddings, highlighting the vibrant traditions, and supporting cultural exchanges.",Low Confidence: Highly Likely,0.5597,"Heritage Sites: We will provide appropriate resources for the maintenance and restoration of all national heritage sites, and to prevent their vandalisation in any form. The digitization of archives and archeological and museological records would be initiated. A National Mission for beautifying and improving the infrastructure and amenities at pilgrimage centres of all faiths will be launched.",2014
"We will undertake significant new projects to develop religious and tourist sites inspired by the Kashi Vishwanath corridor model, across the length and breadth of our country. Holistic Development of Ayodhya As millions of devotees from around the world visit Shri Ram Lalla in Ayodhya, we are committed to the holistic development of the city. Continue the Preservation and Study of Bharatiya Manuscripts",Moderate Confidence: Partial,0.6614,To explore all possibilities within the framework of the constitution to facilitate the construction of the Ram Temple in Ayodhya.,2014
We will continue to digitise all Bharatiya manuscripts and epigraphs in mission mode. We will establish a dedicated scholarship programme to research ancient Bharatiya manuscripts and epigraphs. Establishing Bharatiya Sanskriti Kosh,Low Confidence: Highly Likely,0.5382,"Deploy IT to protect India's priceless cultural and artistic heritage, which includes digitization of all archives and museology.",2014
"We will establish the Bharatiya Sanskriti Kosh to ensure the preservation and protection of ancient Bharatiya civilization, classical languages, culture, and traditions through the extensive use of technology.",Low Confidence: Partial,0.5812,BJP is committed to the preservation of the rich culture and heritage of India's minority communities; alongside their social and economic empowerment. Curate their rich heritage and culture - maintenance and restoration of heritage sites; digitization of archives; preservation and promotion of Urdu.,2014
53 53,Indeterminate,0.391,Poshan Abhiyaan.,2019
We will take further steps to facilitate fiscal autonomy and sustainability of Panchayati Raj Institutions. Accelerating e-Courts on Mission Mode,Low Confidence: Partial,0.5395,Ensure fiscal autonomy of States while urging financial discipline.,2014
Formulating a National Litigation Policy We will accelerate the e-Courts Mission Mode Project to complete the digitisation of entire court records and for easy access to court proceedings online.,Moderate Confidence: Partial,0.6564,Achieve complete digitisation and modernisation of courts,2019
"We will formulate a National Litigation Policy to expedite the resolution of all matters in courts, lower the cost of contested court proceedings, and decrease the number of cases in which the government is Expedite the Resolution of Old Cases a party and the consequent load on the courts.",High Confidence: Partial,0.8314,"Implement the National Litigation Policy in letter and spirit to reduce average pendency time of cases. Review and reduce significantly the number of cases, in which the Government is a litigant in the next five years.",2014
We will establish fast track courts for quick disposal of pendency in identified areas. Initiating Reforms in the Civil Procedures Creation of Ecosystem for Alternate Dispute Resolution,Moderate Confidence: Partial,0.6826,"Accord high priority to judicial reforms to address the issue of appointment of judges, filling the vacancies Opening new courts, setting up a mechanism for speedy clearance of the backlog of cases at various levels in the judiciary.",2014
"We will completely overhaul the commercial and civil justice systems, on the lines of criminal justice",Moderate Confidence: Highly Likely,0.678,"Reform the criminal justice system to make dispensation of justice simpler, quicker and more effective and after examining the recommendations of the earlier reports on this subject.",2014
"We will work towards further improving the legal framework to promote arbitration and mediation reforms. This revamp will aim to streamline procedures, enhance the efficiency of legal processes and ecosystem. ensure timely justice, fostering a more business-friendly and citizen-centric legal environment. Improving Delivery of Public Services",Moderate Confidence: Highly Likely,0.6904,"Reform the criminal justice system to make dispensation of justice simpler, quicker and more effective and after examining the recommendations of the earlier reports on this subject.",2014
We will improve public services delivery through CSCs and Post Offices using technology. We will use,Low Confidence: Highly Likely,0.5205,Use technology to reduce Transmission and distribution losses.,2014
Bhashini to provide services in multiple Indian languages. We will increase participation of citizens in policy making through platforms like MyGov. MODI KI Strengthen Statistical Institutions,High Confidence: Highly Likely,0.7069,Promote e-Bhasha - National Mission for the promotion of IT in Indian Languages.,2014
"We will further strengthen the capacity of statistical institutions to give an impetus to data driven policy GUARANTEE FOR making. GOOD GOVERNANCE Making One Nation, One Election a Reality We have set up a High Powered Committee to examine the issues of conducting simultaneous elections and will work towards the implementation of the recommendations of the Committee. ‘Reform, Perform, Transform’ is our mantra for Good Governance. We have used a mix of Introducing Common Electoral Roll policies, technology, and simpler processes to ensure good governance in the last ten years.",Low Confidence: Partial,0.5107,We will formulate a ‘National Policy for Reskilling and Upskilling’ to evolve a flexible and industry responsive workforce which is capable of accessing new opportunities and to insulate it from technological shocks,2019
"These initiatives have made the governance more efficient and have reduced corruption at all We will make provisions for a common Electoral Roll for all levels of elections. levels of governance from the top to everyday transactions carried out by citizens. Our Vision for good governance is to further simplify the processes, procedures, rules and regulations in such a way that we are able to take the government out of the everyday lives of normal",Moderate Confidence: Partial,0.6175,Hallmarks of our Governance model would be:,2014
citizens. We will undertake more institutional reforms and simplify processes using Capacity Building for All Central Government Employees technology to ensure that citizen-government interaction is significantly improved.,Low Confidence: Highly Likely,0.5961,Administrative reforms will be a priority for the BJP. ---The administration and its members will be made truly accountable to their tasks as well as the people through rigorous evaluation process.. ---,2014
"We will expand the Karmyogi Scheme to cover all Central Government employees, promoting a Institutional Reforms responsive, highly competent and tech-savvy workforce for efficient and inclusive governance. Combating Corruption Modernising Police Forces In contrast with the previous government, we have given transparent and accountable governance to",Low Confidence: Partial,0.5618,We will expand the Pradhan Mantri Shram Yogi Maandhan scheme,2019
"We will assist states in transforming the police into a tech-savvy, tech-trained and tech-equipped force",High Confidence: Partial,0.8064,"We will work with the states to empower Police with the authority, independence and resources. Facilitate training and capacity building of Police forces Modernize the police force, equipping them with the latest technology. Initiate the networking of police stations across the country for intelligence sharing and crime control. Develop specialized expertise in investigation; through continuous training, especially in evolving competencies. Strengthen Investigations, making them Swift, Transparent, Fair, Clear and Decisive - acting as an inescapable deterrent to wrong- doers and a protective shield to the innocent. Overhaul our intelligence set up, with special focus on coordination and integration of human and technological intel - comprehensively gearing it towards collecting real time, specific and actionable inputs.",2014
"our citizens. We will continue our fight against corruption through strict implementation of laws and use through the Police Modernization Scheme. of technology. Bringing Uniform Civil Code Article 44 of the Constitution lists Uniform Civil Code as one of the Directive Principles of State Policy. BJP believes that there cannot be gender equality till such time Bharat adopts a Uniform Civil Code, which protects the rights of all women, and the BJP reiterates its stand to draw a Uniform Civil Code, drawing upon the best traditions and harmonising them with the modern times. 54",High Confidence: Partial,0.8628,"Article 44 of the constitution of India lists Uniform Civil Code as one of the Directive Principles of state policy. BJP believes that there cannot be gender equality till such time India adopts a Uniform Civil Code, which protects the rights of all women, and the BJP reiterates its stand to draft a Uniform Civil Code, drawing upon the best traditions and harmonizing them with the modern times.",2014
We will take further steps to facilitate fiscal autonomy and sustainability of Panchayati Raj Institutions. Accelerating e-Courts on Mission Mode,Low Confidence: Partial,0.5395,Ensure fiscal autonomy of States while urging financial discipline.,2014
We will take further steps to facilitate fiscal autonomy and sustainability of Panchayati Raj Institutions. Accelerating e-Courts on Mission Mode,Low Confidence: Partial,0.5395,Ensure fiscal autonomy of States while urging financial discipline.,2014
Formulating a National Litigation Policy We will accelerate the e-Courts Mission Mode Project to complete the digitisation of entire court records,High Confidence: Partial,0.7401,Achieve complete digitisation and modernisation of courts,2019
Formulating a National Litigation Policy We will accelerate the e-Courts Mission Mode Project to complete the digitisation of entire court records and for easy access to court proceedings online.,Moderate Confidence: Partial,0.6564,Achieve complete digitisation and modernisation of courts,2019
"We will formulate a National Litigation Policy to expedite the resolution of all matters in courts, lower and for easy access to court proceedings online.",High Confidence: Partial,0.72,"Implement the National Litigation Policy in letter and spirit to reduce average pendency time of cases. Review and reduce significantly the number of cases, in which the Government is a litigant in the next five years.",2014
"We will formulate a National Litigation Policy to expedite the resolution of all matters in courts, lower the cost of contested court proceedings, and decrease the number of cases in which the government is Expedite the Resolution of Old Cases the cost of contested court proceedings, and decrease the number of cases in which the government is Expedite the Resolution of Old Cases a party and the consequent load on the courts. a party and the consequent load on the courts.",High Confidence: Partial,0.8298,"Implement the National Litigation Policy in letter and spirit to reduce average pendency time of cases. Review and reduce significantly the number of cases, in which the Government is a litigant in the next five years.",2014
We will establish fast track courts for quick disposal of pendency in identified areas.,Low Confidence: Highly Likely,0.5608,Create courts specially equipped to deal with IPR cases.,2014
We will establish fast track courts for quick disposal of pendency in identified areas. Initiating Reforms in the Civil Procedures Initiating Reforms in the Civil Procedures Creation of Ecosystem for Alternate Dispute Resolution Creation of Ecosystem for Alternate Dispute Resolution,Moderate Confidence: Partial,0.6721,"Accord high priority to judicial reforms to address the issue of appointment of judges, filling the vacancies Opening new courts, setting up a mechanism for speedy clearance of the backlog of cases at various levels in the judiciary.",2014
"We will completely overhaul the commercial and civil justice systems, on the lines of criminal justice",Moderate Confidence: Highly Likely,0.678,"Reform the criminal justice system to make dispensation of justice simpler, quicker and more effective and after examining the recommendations of the earlier reports on this subject.",2014
"We will completely overhaul the commercial and civil justice systems, on the lines of criminal justice",Moderate Confidence: Highly Likely,0.678,"Reform the criminal justice system to make dispensation of justice simpler, quicker and more effective and after examining the recommendations of the earlier reports on this subject.",2014
We will work towards further improving the legal framework to promote arbitration and mediation,Moderate Confidence: Partial,0.6199,"Expand alternative dispute redressal mechanisms through Lok Adalats and Tribunals. Give special emphasis to the development of Alternate Dispute Resolution mechanisms – like LokAdalats, Arbitration and Conciliation centres",2014
"reforms. This revamp will aim to streamline procedures, enhance the efficiency of legal processes and We will work towards further improving the legal framework to promote arbitration and mediation reforms. This revamp will aim to streamline procedures, enhance the efficiency of legal processes and ecosystem. ensure timely justice, fostering a more business-friendly and citizen-centric legal environment. ecosystem. ensure timely justice, fostering a more business-friendly and citizen-centric legal environment. Improving Delivery of Public Services Improving Delivery of Public Services",Moderate Confidence: Highly Likely,0.6984,"Reform the criminal justice system to make dispensation of justice simpler, quicker and more effective and after examining the recommendations of the earlier reports on this subject.",2014
We will improve public services delivery through CSCs and Post Offices using technology. We will use,Low Confidence: Highly Likely,0.5205,Use technology to reduce Transmission and distribution losses.,2014
We will improve public services delivery through CSCs and Post Offices using technology. We will use,Low Confidence: Highly Likely,0.5205,Use technology to reduce Transmission and distribution losses.,2014
Bhashini to provide services in multiple Indian languages. We will increase participation of citizens in,High Confidence: Highly Likely,0.772,Promote e-Bhasha - National Mission for the promotion of IT in Indian Languages.,2014
Bhashini to provide services in multiple Indian languages. We will increase participation of citizens in policy making through platforms like MyGov. policy making through platforms like MyGov. MODI KI Strengthen Statistical Institutions Strengthen Statistical Institutions,Moderate Confidence: Highly Likely,0.6537,Promote e-Bhasha - National Mission for the promotion of IT in Indian Languages.,2014
We will further strengthen the capacity of statistical institutions to give an impetus to data driven policy,Low Confidence: Highly Likely,0.5458,Set an institute of Big data and Analytics for studying the impact of big data across sectors,2014
"GUARANTEE FOR We will further strengthen the capacity of statistical institutions to give an impetus to data driven policy making. making. GOOD GOVERNANCE Electoral Reforms Making One Nation, One Election a Reality Making One Nation, One Election a Reality We have set up a High Powered Committee to examine the issues of conducting simultaneous elections We have set up a High Powered Committee to examine the issues of conducting simultaneous elections and will work towards the implementation of the recommendations of the Committee. and will work towards the implementation of the recommendations of the Committee. ‘Reform, Perform, Transform’ is our mantra for Good Governance. We have used a mix of Introducing Common Electoral Roll Introducing Common Electoral Roll policies, technology, and simpler processes to ensure good governance in the last ten years.",Low Confidence: Partial,0.5262,"BJP is committed to initiate electoral reforms that will enable to eradicate corruption, eliminate criminals and it also commits to hold wider consultations with all the stakeholders for holding simulataneous elections of Parliament and State assemblies. BJP will also work with political parties and the EC make expenditure limits more realistic.",2014
"These initiatives have made the governance more efficient and have reduced corruption at all We will mak W e e p w ro il v l i m sio a n ke s f p o r r o v a i s c i o o m ns m f o o n r a E l c e o c m to m ra o l n R o E l l l e f c o t r o a ra ll l l R ev o e ll l f s o o r f a e ll l e le c v t e io ls n s o . f elections. levels of governance from the top to everyday transactions carried out by citizens. Our Vision for good governance is to further simplify the processes, procedures, rules and regulations in such a way that we are able to take the government out of the everyday lives of normal Employees and Police Personnel Welfare",Low Confidence: Partial,0.6,Mandate digitization of all government work to reduce corruption and delays.,2014
citizens. We will undertake more institutional reforms and simplify processes using Capacity Building for All Central Government Employees technology to ensure that citizen-government interaction is significantly improved. Capacity Building for All Central Government Employees,Low Confidence: Highly Likely,0.5707,Administrative reforms will be a priority for the BJP. ---The administration and its members will be made truly accountable to their tasks as well as the people through rigorous evaluation process.. ---,2014
"We will expand the Karmyogi Scheme to cover all Central Government employees, promoting a",Moderate Confidence: Partial,0.6015,We will expand the Pradhan Mantri Shram Yogi Maandhan scheme,2019
"We will expand the Karmyogi Scheme to cover all Central Government employees, promoting a Institutional Reforms responsive, highly competent and tech-savvy workforce for efficient and inclusive governance. responsive, highly competent and tech-savvy workforce for efficient and inclusive governance. Combating Corruption Combating Corruption Modernising Police Forces Modernising Police Forces In contrast with the previous government, we have given transparent and accountable governance to",Low Confidence: Partial,0.5437,We will expand the Pradhan Mantri Shram Yogi Maandhan scheme,2019
"In contrast with the previous government, we have given transparent and accountable governance to We will assist states in transforming the police into a tech-savvy, tech-trained and tech-equipped force",High Confidence: Partial,0.7274,"We will work with the states to empower Police with the authority, independence and resources. Facilitate training and capacity building of Police forces Modernize the police force, equipping them with the latest technology. Initiate the networking of police stations across the country for intelligence sharing and crime control. Develop specialized expertise in investigation; through continuous training, especially in evolving competencies. Strengthen Investigations, making them Swift, Transparent, Fair, Clear and Decisive - acting as an inescapable deterrent to wrong- doers and a protective shield to the innocent. Overhaul our intelligence set up, with special focus on coordination and integration of human and technological intel - comprehensively gearing it towards collecting real time, specific and actionable inputs.",2014
"We will assist states in transforming the police into a tech-savvy, tech-trained and tech-equipped force",High Confidence: Partial,0.8064,"We will work with the states to empower Police with the authority, independence and resources. Facilitate training and capacity building of Police forces Modernize the police force, equipping them with the latest technology. Initiate the networking of police stations across the country for intelligence sharing and crime control. Develop specialized expertise in investigation; through continuous training, especially in evolving competencies. Strengthen Investigations, making them Swift, Transparent, Fair, Clear and Decisive - acting as an inescapable deterrent to wrong- doers and a protective shield to the innocent. Overhaul our intelligence set up, with special focus on coordination and integration of human and technological intel - comprehensively gearing it towards collecting real time, specific and actionable inputs.",2014
our citizens. We will continue our fight against corruption through strict implementation of laws and use,Moderate Confidence: Unlikely,0.6143,Corruption at any level will be dealt with firmly and swiftly.,2014
"our citizens. We will continue our fight against corruption through strict implementation of laws and use through the Police Modernization Scheme. through the Police Modernization Scheme. of technology. of technology. Bringing Uniform Civil Code Bringing Uniform Civil Code Article 44 of the Constitution lists Uniform Civil Code as one of the Directive Principles of State Policy. Article 44 of the Constitution lists Uniform Civil Code as one of the Directive Principles of State Policy. BJP believes that there cannot be gender equality till such time Bharat adopts a Uniform Civil Code, BJP believes that there cannot be gender equality till such time Bharat adopts a Uniform Civil Code, which protects the rights of all women, and the BJP reiterates its stand to draw a Uniform Civil Code, which protects the rights of all women, and the BJP reiterates its stand to draw a Uniform Civil Code, drawing upon the best traditions and harmonising them with the modern times. drawing upon the best traditions and harmonising them with the modern times. 55",High Confidence: Partial,0.8146,"Article 44 of the constitution of India lists Uniform Civil Code as one of the Directive Principles of state policy. BJP believes that there cannot be gender equality till such time India adopts a Uniform Civil Code, which protects the rights of all women, and the BJP reiterates its stand to draft a Uniform Civil Code, drawing upon the best traditions and harmonizing them with the modern times.",2014
We will take further steps to facilitate fiscal autonomy and sustainability of Panchayati Raj Institutions. Accelerating e-Courts on Mission Mode,Low Confidence: Partial,0.5395,Ensure fiscal autonomy of States while urging financial discipline.,2014
Formulating a National Litigation Policy We will accelerate the e-Courts Mission Mode Project to complete the digitisation of entire court records and for easy access to court proceedings online.,Moderate Confidence: Partial,0.6564,Achieve complete digitisation and modernisation of courts,2019
"We will formulate a National Litigation Policy to expedite the resolution of all matters in courts, lower the cost of contested court proceedings, and decrease the number of cases in which the government is Expedite the Resolution of Old Cases a party and the consequent load on the courts.",High Confidence: Partial,0.8314,"Implement the National Litigation Policy in letter and spirit to reduce average pendency time of cases. Review and reduce significantly the number of cases, in which the Government is a litigant in the next five years.",2014
We will establish fast track courts for quick disposal of pendency in identified areas. Initiating Reforms in the Civil Procedures Creation of Ecosystem for Alternate Dispute Resolution,Moderate Confidence: Partial,0.6826,"Accord high priority to judicial reforms to address the issue of appointment of judges, filling the vacancies Opening new courts, setting up a mechanism for speedy clearance of the backlog of cases at various levels in the judiciary.",2014
"We will completely overhaul the commercial and civil justice systems, on the lines of criminal justice",Moderate Confidence: Highly Likely,0.678,"Reform the criminal justice system to make dispensation of justice simpler, quicker and more effective and after examining the recommendations of the earlier reports on this subject.",2014
"We will work towards further improving the legal framework to promote arbitration and mediation reforms. This revamp will aim to streamline procedures, enhance the efficiency of legal processes and ecosystem. ensure timely justice, fostering a more business-friendly and citizen-centric legal environment. Improving Delivery of Public Services",Moderate Confidence: Highly Likely,0.6904,"Reform the criminal justice system to make dispensation of justice simpler, quicker and more effective and after examining the recommendations of the earlier reports on this subject.",2014
We will improve public services delivery through CSCs and Post Offices using technology. We will use,Low Confidence: Highly Likely,0.5205,Use technology to reduce Transmission and distribution losses.,2014
Bhashini to provide services in multiple Indian languages. We will increase participation of citizens in policy making through platforms like MyGov. Strengthen Statistical Institutions,High Confidence: Highly Likely,0.7036,Promote e-Bhasha - National Mission for the promotion of IT in Indian Languages.,2014
"We will further strengthen the capacity of statistical institutions to give an impetus to data driven policy making. Making One Nation, One Election a Reality We have set up a High Powered Committee to examine the issues of conducting simultaneous elections and will work towards the implementation of the recommendations of the Committee. Introducing Common Electoral Roll",Indeterminate,0.4991,Set an institute of Big data and Analytics for studying the impact of big data across sectors,2014
We will make provisions for a common Electoral Roll for all levels of elections. Capacity Building for All Central Government Employees,Low Confidence: Partial,0.5157,"BJP is committed to initiate electoral reforms that will enable to eradicate corruption, eliminate criminals and it also commits to hold wider consultations with all the stakeholders for holding simulataneous elections of Parliament and State assemblies. BJP will also work with political parties and the EC make expenditure limits more realistic.",2014
"We will expand the Karmyogi Scheme to cover all Central Government employees, promoting a responsive, highly competent and tech-savvy workforce for efficient and inclusive governance. Combating Corruption Modernising Police Forces In contrast with the previous government, we have given transparent and accountable governance to",Low Confidence: Partial,0.5491,We will expand the Pradhan Mantri Shram Yogi Maandhan scheme,2019
"We will assist states in transforming the police into a tech-savvy, tech-trained and tech-equipped force",High Confidence: Partial,0.8064,"We will work with the states to empower Police with the authority, independence and resources. Facilitate training and capacity building of Police forces Modernize the police force, equipping them with the latest technology. Initiate the networking of police stations across the country for intelligence sharing and crime control. Develop specialized expertise in investigation; through continuous training, especially in evolving competencies. Strengthen Investigations, making them Swift, Transparent, Fair, Clear and Decisive - acting as an inescapable deterrent to wrong- doers and a protective shield to the innocent. Overhaul our intelligence set up, with special focus on coordination and integration of human and technological intel - comprehensively gearing it towards collecting real time, specific and actionable inputs.",2014
"our citizens. We will continue our fight against corruption through strict implementation of laws and use through the Police Modernization Scheme. of technology. Bringing Uniform Civil Code Article 44 of the Constitution lists Uniform Civil Code as one of the Directive Principles of State Policy. BJP believes that there cannot be gender equality till such time Bharat adopts a Uniform Civil Code, which protects the rights of all women, and the BJP reiterates its stand to draw a Uniform Civil Code, drawing upon the best traditions and harmonising them with the modern times.",High Confidence: Partial,0.8576,"Article 44 of the constitution of India lists Uniform Civil Code as one of the Directive Principles of state policy. BJP believes that there cannot be gender equality till such time India adopts a Uniform Civil Code, which protects the rights of all women, and the BJP reiterates its stand to draft a Uniform Civil Code, drawing upon the best traditions and harmonizing them with the modern times.",2014
56 56,Indeterminate,0.3737,Merged with 493,2014
We will further strengthen the Ayushman Arogya Mandirs and upgrade district hospitals and other,Moderate Confidence: Partial,0.6123,We will increase the coverage of Ayushman Bharat to include all Anganwadi workers and workers to ensure improved health and social support system for these frontline workers,2019
We will take further steps to facilitate fiscal autonomy and sustainability of Panchayati Raj Institutions. Accelerating e-Courts on Mission Mode secondary healthcare centres by expanding the full functionality of all packages for comprehensive,Low Confidence: Partial,0.5225,"Initiate a National e-Governance Plan to cover every Government office from the centre to the panchayats. The 'E Gram, Vishwa Gram' scheme in Gujarat to be implemented nationwide.",2014
